n,dv1_x,dv1_y,nominal_value,expected_value,variance,time_cost
79,0.7899999999998766,-2.7200000000000166,4.055255311229995,4.0554225451425845,0.0014745552130707008,2452500.0
80,0.8299999999998757,-2.710000000000017,4.055287278340621,4.008144347688183,0.005339502325818747,1440300.0
81,0.5499999999998817,-2.8300000000000143,4.055326173059589,4.094813868398878,0.019674442326960303,1423200.0
82,0.959999999999873,-2.6200000000000188,4.0561117487188,4.059186766197902,7.122290007510993e-05,2533900.0
83,0.2699999999998876,-2.9200000000000124,4.058346438947361,4.110612456095818,0.008410828832991879,335000.0
84,0.8499999999998753,-2.700000000000017,4.05910045612981,3.9957273594722347,0.004707061779091999,1443900.0
85,0.8499999999998753,-2.6900000000000173,4.061047207631893,4.06160404488784,0.0014148183012903021,2461200.0
86,0.6999999999998785,-2.760000000000016,4.062409433109727,4.064364959179864,0.0010597385871270095,2454600.0
87,0.7499999999998774,-2.7200000000000166,4.063564333784802,4.069736214048482,0.005367230298344947,2543300.0
88,0.62999999999988,-2.780000000000016,4.063920601476928,4.06732382867894,0.00024021028907125595,2503300.0
89,0.8099999999998762,-2.7200000000000166,4.065519265504642,4.007955351113782,0.004654977299655167,1436300.0
90,1.049999999999871,-2.5900000000000194,4.068652615110924,4.063346855774949,0.004324521421399167,486700.0
91,0.769999999999877,-2.7300000000000164,4.075552715973716,4.075623764131664,0.0014438813443815048,2448400.0
92,0.8699999999998749,-2.6900000000000173,4.076674506024003,3.989950694442785,0.004598379400271712,1447100.0
93,0.1899999999998893,-2.940000000000012,4.082346767017034,4.12550205081685,0.0035013101065425813,324200.0
94,0.8699999999998749,-2.680000000000017,4.084638003540185,4.084095312031098,0.0013440820605349617,2463000.0
95,0.5599999999998815,-2.8300000000000143,4.085736646348088,4.091342745659529,0.004400176731433612,376600.0
96,0.769999999999877,-2.710000000000017,4.08906025257385,4.096753600274188,0.006317083927002736,2547800.0
97,0.7899999999998766,-2.7300000000000164,4.089544337491478,4.011359479951619,0.004633725424922769,1432000.0
98,0.62999999999988,-2.800000000000015,4.092829801055018,4.054547502817824,0.005611042339688117,1419400.0
99,0.3799999999998853,-2.890000000000013,4.096253242590228,4.110034387342177,0.003935518887978803,349000.0
100,0.6499999999998796,-2.780000000000016,4.096369706622358,4.096530030565577,0.0006799714811930112,2462100.0
101,0.2199999999998887,-2.930000000000012,4.100310130152684,4.368725696784529,0.5477052347130473,1494400.0
102,0.0999999999998912,-2.9600000000000115,4.100510188943746,4.136659940224571,0.002841291398841073,312900.0
103,0.3099999999998868,-2.910000000000013,4.1005327970417325,4.117464980811619,0.003704754703735367,339200.0
104,0.9499999999998732,-2.650000000000018,4.100954958597432,4.098097210023688,0.004562848085815506,457000.0
105,0.2599999999998879,-2.9200000000000124,4.102097599084244,4.301763234715459,0.39609993639727903,1478600.0
106,0.0499999999998923,-2.9700000000000117,4.10411201550936,inf,,307000.0
107,0.7499999999998774,-2.740000000000016,4.106597452312945,4.106845458036143,0.0013129923973121194,2443800.0
108,0.9399999999998734,-2.6400000000000183,4.108243177023501,4.109332320394232,0.0007930940497792296,2488300.0
109,0.0199999999998929,-2.9700000000000117,4.108536146594952,4.12092615167066,0.018603814000175672,2722500.0
110,0.9799999999998724,-2.610000000000019,4.11187126841319,4.114152296142664,2.2173654832765936e-05,2531900.0
111,0.7899999999998766,-2.700000000000017,4.112472960381072,4.114867702019625,0.007179429233537247,2551600.0
112,0.7099999999998783,-2.770000000000016,4.11255242801367,4.110661565146236,0.004817624343161524,402600.0
113,0.9699999999998729,-2.6200000000000188,4.113335836405456,4.114031957446168,0.0002965768403537926,2509900.0
114,0.6199999999998802,-2.790000000000015,4.113760376816913,4.115596645164451,0.0002489348368431429,2474800.0
115,0.6099999999998804,-2.790000000000015,4.114080506606233,4.116460584692575,4.682093370328793e-05,2494800.0
116,0.8899999999998744,-2.6700000000000177,4.118373987070592,4.11987489809889,0.0013033389783968922,2464200.0
117,0.3699999999998855,-2.890000000000013,4.119678183642622,4.13574431719012,0.040587956193303895,1445100.0
118,0.8099999999998762,-2.700000000000017,4.12104746583769,4.123065522983521,4.0619716362325754e-05,3445800.0
119,0.7899999999998766,-2.710000000000017,4.12245483608969,4.1239731343685015,4.995010268145414e-05,3444000.0
120,0.8299999999998757,-2.6900000000000173,4.126622198553223,4.128503022899185,3.429766148218378e-05,3447100.0
121,0.6799999999998789,-2.770000000000016,4.126723926093916,4.127901841219387,0.0011465038278543021,2448100.0
122,0.6799999999998789,-2.780000000000016,4.128951332188235,4.040025406632335,0.004391862163158318,1419100.0
123,0.0399999999998925,-2.9700000000000117,4.129226014995529,inf,,1596300.0
124,0.769999999999877,-2.7200000000000166,4.13128515453506,4.13276945141389,0.00013330423441478605,3441700.0
125,0.1799999999998895,-2.940000000000012,4.13143756252416,inf,,1510700.0
126,0.8099999999998762,-2.6900000000000173,4.131527175236647,4.135781378206844,0.007689002428603784,2554800.0
127,0.579999999999881,-2.8200000000000145,4.132594740167972,4.0626604832279805,0.0047700353474770954,1417800.0
128,-0.0600000000001053,-2.990000000000011,4.134461751465173,4.213147194353848,0.06811665359851164,294000.0
129,0.299999999999887,-2.910000000000013,4.138455576619785,4.171311109721808,0.08778246489942675,1463100.0
130,0.8499999999998753,-2.680000000000017,4.13894490089914,4.137314057812469,0.0008762762703622039,3448000.0
131,0.0899999999998915,-2.9600000000000115,4.140558571147533,inf,,1560700.0
132,0.1499999999998902,-2.950000000000012,4.143476238588924,4.151682565615286,0.0034310921150842466,317800.0
133,0.8299999999998757,-2.680000000000017,4.1447089303022935,4.148973936149703,0.008347558582511601,2557300.0
134,0.6399999999998798,-2.800000000000015,4.146750647662955,4.142004840449141,0.004616377657503176,389000.0
135,0.9299999999998736,-2.6300000000000185,4.147402097226559,4.153546396688687,0.003543169518556429,2559400.0
136,0.909999999999874,-2.6400000000000183,4.147681662710254,4.152624316641325,0.004583748595667135,2560300.0
137,0.7299999999998779,-2.750000000000016,4.147983579192023,4.149371744053517,0.001364453211826364,2438600.0
138,0.7499999999998774,-2.7300000000000164,4.148034763957424,4.149230157738241,0.0003004478541107603,3439100.0
139,0.8899999999998744,-2.650000000000018,4.150646473918018,4.1550742601319595,0.005544606655414917,2560600.0
140,0.7799999999998768,-2.710000000000017,4.150888616478486,4.057316030856434,0.014434412982485913,3453500.0
141,-1.0658141036401505e-13,-2.980000000000011,4.1511618083641455,4.1641225775241315,0.002573631365624076,300100.0
142,0.7599999999998772,-2.7200000000000166,4.151441941697673,4.092500926527695,0.0108813667438406,3451900.0
143,0.8499999999998753,-2.6700000000000177,4.151501318198839,4.1537652410943116,0.007214356949710436,2559100.0
144,0.8699999999998749,-2.660000000000018,4.152915757441535,4.163091493870254,0.006706620421320967,2560200.0
145,0.9499999999998732,-2.6200000000000188,4.153302453434978,4.156890940743968,0.0021850672665528733,2557900.0
146,1.0199999999998717,-2.610000000000019,4.153856583718709,4.150603929218413,0.0035223691243537266,476000.0
147,-0.0100000000001063,-2.980000000000011,4.154141565606368,4.191636695506573,0.024975730972852415,1635700.0
148,0.7999999999998764,-2.700000000000017,4.15457096928273,4.038268406291517,0.015471856334166124,3454900.0
149,0.7399999999998776,-2.7300000000000164,4.157682224147929,4.103207335929319,0.011037427555927355,3449900.0
150,0.909999999999874,-2.660000000000018,4.161539323082423,4.161804121726753,0.0011686485451980404,2465000.0
151,0.5899999999998808,-2.8200000000000145,4.167946764718179,4.166441806261605,0.004550256702674374,379900.0
152,0.9699999999998729,-2.610000000000019,4.168772828872046,4.171125473638892,0.001201946849400523,2555800.0
153,1.129999999999869,-2.5400000000000205,4.169146765183486,4.1668789282251675,0.003238522913667047,512700.0
154,0.7199999999998781,-2.740000000000016,4.1710157893518085,4.115243904216079,0.011963354717331526,3447600.0
155,-0.120000000000104,-3.0000000000000107,4.172399726406946,inf,,286600.0
156,0.7299999999998779,-2.740000000000016,4.173196403969883,4.133731460247722,0.008847273636680385,3435900.0
157,1.09999999999987,-2.56000000000002,4.1732933377053545,4.169204340218496,0.0036440558524298366,501800.0
158,-0.2700000000001008,-3.0200000000000102,4.17415684001989,4.217926126537151,0.0013199121121027651,271600.0
159,0.6499999999998796,-2.750000000000016,4.174211510358754,inf,,2770400.0
160,0.959999999999873,-2.6300000000000185,4.174790708767235,4.1745187257330585,0.0008016667596002296,2487700.0
161,0.3499999999998859,-2.900000000000013,4.17676874552943,4.175477732672537,0.004324070009367754,343100.0
162,0.999999999999872,-2.600000000000019,4.177438818511094,4.179333850609738,4.3752858684515505e-05,2529600.0
163,-0.1900000000001025,-3.0100000000000104,4.177596893689772,inf,,279300.0
164,0.62999999999988,-2.790000000000015,4.177702589391039,4.179212545590988,0.0007770700047969705,2454400.0
165,0.8399999999998755,-2.710000000000017,4.178089847046348,4.174994081245543,0.004446366392260976,428500.0
166,0.5899999999998808,-2.800000000000015,4.179539138316568,4.181493408503995,2.9037718011013492e-05,2486100.0
167,0.9699999999998729,-2.6400000000000183,4.180019383496043,4.177205455799981,0.0038638220897153825,461100.0
168,0.8199999999998759,-2.7200000000000166,4.180662805136533,4.182735817996818,0.00452482779815785,424000.0
169,0.8599999999998751,-2.700000000000017,4.187775809955093,4.185150876887902,0.003951499882328984,433000.0
170,0.9899999999998724,-2.610000000000019,4.188197707038753,4.189241496646377,0.00038152093634823803,2508300.0
171,0.1399999999998904,-2.950000000000012,4.191285005154017,inf,,1528200.0
172,1.1599999999998687,-2.520000000000021,4.192230862796522,4.193989361942135,0.003169953079986156,524000.0
173,0.7999999999998764,-2.7300000000000164,4.195513603698667,4.1937950710287915,0.004134228593158342,419400.0
174,0.6899999999998787,-2.780000000000016,4.196050565509227,4.194805297166156,0.00439119376962928,397200.0
175,0.9899999999998724,-2.600000000000019,4.196342044787542,4.200280531163265,0.0007813503219118238,2553300.0
176,0.5999999999998806,-2.800000000000015,4.197294615074194,4.198246854830906,0.0003555897113593476,2466500.0
177,0.7099999999998783,-2.760000000000016,4.199043538602176,4.199319818700049,0.0015138328151417945,2433100.0
178,0.6599999999998793,-2.780000000000016,4.199505128885518,4.198865309541909,0.00107139972999154,2441200.0
